年度,区分,学科,時間割CD,履修期名,曜日,時限,科目名,単位,対象学年,教員名,校舎記号,校舎,教室名,教室,原本ファイル
2026,理工学部,土木工学科,A11A,前期,月,1,土木工学インセンティブ {前期隔週}↓連続２時限【前期隔週】,2,1,関・中村 他,F,船橋校舎,階段教室(大),階段教室(大),1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A12M,前期,月,2,地震工学,2,4,小林･小田,S,タワースコラ,S404,S404,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A11A,前期,月,2,土木工学インセンティブ {前期隔週}↓連続２時限【前期隔週】,2,1,関・中村 他,F,船橋校舎,階段教室(大),階段教室(大),1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13M,前期,月,3,応用水理学 {1},2,3,高橋・佐藤（柳）,S,タワースコラ,S401,S401,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,105,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,113,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,134,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,143,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,144,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,3,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),819,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,3,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),826,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,3,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),829,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13A,前期,月,3,測量実習Ⅰ {1}↓連続２時限,1,1,羽柴・園部　他,F,船橋校舎,測量実習ｾﾝﾀｰ(演習室AB),測量実習ｾﾝﾀｰ(演習室AB),1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13B,前期,月,3,デザイン基礎・演習 {2}↓連続２時限,2,1,関・三友,F,船橋校舎,1325 階段教室（小）,1325,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13B,前期,月,3,デザイン基礎・演習 {2}↓連続２時限,2,1,関・三友,F,船橋校舎,1325 階段教室（小）,階段教室（小）,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13A,前期,月,3,倫理学 {I群},2,1,勢力　尚雅,F,船橋校舎,1011,1011,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13B,前期,月,3,文学 {I群},2,1,岸　規子,F,船橋校舎,1012,1012,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13C,前期,月,3,日本国憲法 {I群},2,1,天野　聖悦,F,船橋校舎,1021,1021,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13D,前期,月,3,ことばと文化 {I群},2,1,郭　海燕,F,船橋校舎,1023,1023,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13E,前期,月,3,歴史学 {I群},2,1,青木　学,F,船橋校舎,1141,1141,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13F,前期,月,3,感性芸術学 {II群},2,1,柴山　英樹,F,船橋校舎,1032,1032,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13G,前期,月,3,心理学 {II群},2,1,加藤　博己,F,船橋校舎,1033,1033,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13H,前期,月,3,技術者倫理 {III群},2,1,壁谷　彰慶,F,船橋校舎,1031,1031,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13I,前期,月,3,科学技術と経済 {III群},2,1,藤木　秀明,F,船橋校舎,1022,1022,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13J,前期,月,3,科学技術と人間 {III群},2,1,槇野　沙央理,F,船橋校舎,1041,1041,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A14N,前期,月,4,応用水理学 {2},2,3,高橋・佐藤（柳）,S,タワースコラ,S101,S101,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,4,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,105,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,4,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,113,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,4,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,134,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,4,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,143,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,4,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,144,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,4,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),819,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,4,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),826,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,4,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),829,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13A,前期,月,4,測量実習Ⅰ {1}↓連続２時限,1,1,羽柴・園部　他,F,船橋校舎,測量実習ｾﾝﾀｰ(演習室AB),測量実習ｾﾝﾀｰ(演習室AB),1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13B,前期,月,4,デザイン基礎・演習 {2}↓連続２時限,2,1,関・三友,F,船橋校舎,1325 階段教室（小）,1325,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13B,前期,月,4,デザイン基礎・演習 {2}↓連続２時限,2,1,関・三友,F,船橋校舎,1325 階段教室（小）,階段教室（小）,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14A,前期,月,4,倫理学 {I群},2,1,大澤　真生,F,船橋校舎,1023,1023,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14B,前期,月,4,文学 {I群},2,1,市川　浩昭,F,船橋校舎,1013,1013,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14C,前期,月,4,日本国憲法 {I群},2,1,天野　聖悦,F,船橋校舎,1021,1021,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14D,前期,月,4,ことばと文化 {I群},2,1,岸　規子,F,船橋校舎,1012,1012,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14E,前期,月,4,歴史学 {I群},2,1,青木　学,F,船橋校舎,1141,1141,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14F,前期,月,4,感性芸術学 {II群},2,1,勢力　尚雅,F,船橋校舎,1011,1011,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14G,前期,月,4,心理学 {II群},2,1,加藤　博己,F,船橋校舎,1033,1033,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14H,前期,月,4,技術者倫理 {III群},2,1,壁谷　彰慶,F,船橋校舎,1031,1031,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14I,前期,月,4,科学技術と経済 {III群},2,1,藤木　秀明,F,船橋校舎,1022,1022,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P14J,前期,月,4,科学技術と人間 {III群},2,1,槇野　沙央理,F,船橋校舎,1041,1041,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A15D,前期,月,5,地盤力学Ⅰ {再履修},2,3,重村・中村,S,タワースコラ,S405,S405,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A16A,前期,月,6,地盤力学Ⅰ演習 {再履修},1,3,重村・中村,S,タワースコラ,S405,S405,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21M,前期,火,1,土質実験↓連続２時限,1,3,鎌尾・重村　他,S,タワースコラ,S405,S405,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21N,前期,火,1,材料実験↓連続２時限,1,3,梅村・佐藤・藤谷・中根,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21Q,前期,火,1,構造実験↓連続２時限,1,4,関・山田,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21R,前期,火,1,水理実験↓連続２時限,1,4,安田・高橋・佐藤（柳）,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21S,前期,火,1,水質実験↓連続２時限,1,4,齋藤・小沼　他,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21A,前期,火,1,力と運動の物理学Ⅰ {A},2,1,鈴木　良拓,F,船橋校舎,1011,1011,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21B,前期,火,1,力と運動の物理学Ⅰ {B},2,1,井口　英雄,F,船橋校舎,1012,1012,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21C,前期,火,1,力と運動の物理学Ⅰ {C},2,1,早川　恭史,F,船橋校舎,1013,1013,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21M,前期,火,2,土質実験↓連続２時限,1,3,鎌尾・重村　他,S,タワースコラ,S405,S405,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21N,前期,火,2,材料実験↓連続２時限,1,3,梅村・佐藤・藤谷・中根,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21Q,前期,火,2,構造実験↓連続２時限,1,4,関・山田,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21R,前期,火,2,水理実験↓連続２時限,1,4,安田・高橋・佐藤（柳）,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A21S,前期,火,2,水質実験↓連続２時限,1,4,齋藤・小沼　他,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23M,前期,火,3,プログラミングⅠ {1},2,2,小林・小田・相馬,S,タワースコラ,S501,S501,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23N,前期,火,3,土木工学のための統計分析 {2},2,2,金子・中村,S,タワースコラ,S302,S302,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23Q,前期,火,3,土質実験↓連続２時限,1,3,鎌尾・重村　他,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23R,前期,火,3,材料実験↓連続２時限,1,3,梅村・佐藤・藤谷・中根,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23U,前期,火,3,構造実験↓連続２時限,1,4,関・山田,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23V,前期,火,3,水質実験↓連続２時限,1,4,齋藤・小沼　他,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23A,前期,火,3,倫理学 {I群},2,1,勢力　尚雅,F,船橋校舎,1012,1012,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23B,前期,火,3,文学 {I群},2,1,岸　規子,F,船橋校舎,1013,1013,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23C,前期,火,3,社会学 {I群},2,1,宮崎　智絵,F,船橋校舎,1021,1021,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23D,前期,火,3,日本国憲法 {I群},2,1,天野　聖悦,F,船橋校舎,1022,1022,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23E,前期,火,3,ことばと文化 {I群},2,1,石部　尚登,F,船橋校舎,1023,1023,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23F,前期,火,3,歴史学 {I群},2,1,青木　学,F,船橋校舎,633,633,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23G,前期,火,3,感性芸術学 {II群},2,1,今村　淳,F,船橋校舎,1031,1031,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23H,前期,火,3,哲学 {II群},2,1,谷田　雄毅,F,船橋校舎,1042,1042,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23I,前期,火,3,科学技術と人間 {III群},2,1,佐々木　慎吾,F,船橋校舎,1032,1032,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23J,前期,火,3,技術者倫理 {III群},2,1,壁谷　彰慶,F,船橋校舎,1033,1033,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P23K,前期,火,3,科学技術と経済 {III群},2,1,藤木　秀明,F,船橋校舎,1041,1041,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A24M,前期,火,4,土木工学のための統計分析 {1},2,2,金子・中村,S,タワースコラ,S302,S302,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A24N,前期,火,4,プログラミングⅠ {2},2,2,小林・小田・相馬,S,タワースコラ,S501,S501,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23Q,前期,火,4,土質実験↓連続２時限,1,3,鎌尾・重村　他,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23R,前期,火,4,材料実験↓連続２時限,1,3,梅村・佐藤・藤谷・中根,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23U,前期,火,4,構造実験↓連続２時限,1,4,関・山田,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A23V,前期,火,4,水質実験↓連続２時限,1,4,齋藤・小沼　他,S,駿河台校舎,0000,0000,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24A,前期,火,4,倫理学 {I群},2,1,勢力　尚雅,F,船橋校舎,1012,1012,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24B,前期,火,4,文学 {I群},2,1,石尾　奈智子,F,船橋校舎,1013,1013,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24C,前期,火,4,社会学 {I群},2,1,宮崎　智絵,F,船橋校舎,1021,1021,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24D,前期,火,4,日本国憲法 {I群},2,1,天野　聖悦,F,船橋校舎,1022,1022,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24E,前期,火,4,ことばと文化 {I群},2,1,岸　規子,F,船橋校舎,1023,1023,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24F,前期,火,4,歴史学 {I群},2,1,青木　学,F,船橋校舎,633,633,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24G,前期,火,4,感性芸術学 {II群},2,1,今村　淳,F,船橋校舎,1031,1031,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24H,前期,火,4,心理学 {II群},2,1,伊藤　令枝,F,船橋校舎,1011,1011,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24I,前期,火,4,哲学 {II群},2,1,谷田　雄毅,F,船橋校舎,1042,1042,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24J,前期,火,4,科学技術と人間 {III群},2,1,佐々木　慎吾,F,船橋校舎,1032,1032,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24K,前期,火,4,技術者倫理 {III群},2,1,壁谷　彰慶,F,船橋校舎,1033,1033,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P24L,前期,火,4,科学技術と経済 {III群},2,1,藤木　秀明,F,船橋校舎,1041,1041,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A25M,前期,火,5,応用力学Ⅰ {再履修},2,3,長谷部　寛,S,タワースコラ,S505,S505,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A25O,前期,火,5,材料力学 {再履修},2,4,小林･小田,S,タワースコラ,S203,S203,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P25A,前期,火,5,心理学 {II群},2,1,伊藤　令枝,F,船橋校舎,1011,1011,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A26M,前期,火,6,応用力学Ⅰ演習 {再履修},1,3,長谷部　寛,S,タワースコラ,S505,S505,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A26O,前期,火,6,材料力学演習 {再履修},1,4,小林･小田,S,タワースコラ,S203,S203,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A31M,前期,水,1,地球環境学 {1},2,2,齋藤・小沼・藤井,S,駿河台校舎,144,144,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A31N,前期,水,1,応用力学Ⅰ {2},2,2,長谷部　寛,S,駿河台校舎,151,151,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31A,前期,水,1,英語ⅢA,1,2,髙橋　比路史,S,タワースコラ,S404,S404,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31B,前期,水,1,英語ⅢA,1,2,冨樫　壮央,S,駿河台校舎,134,134,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31C,前期,水,1,英語ⅢA,1,2,森下　早也香,S,駿河台校舎,142,142,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31D,前期,水,1,英語ⅢA,1,2,手島　敬子,S,駿河台校舎,133,133,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31E,前期,水,1,英語ⅢA,1,2,加藤　遼子,S,駿河台校舎,132,132,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31F,前期,水,1,英語ⅢA,1,2,鈴木　孝,S,タワースコラ,S502,S502,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31G,前期,水,1,English Communication Ⅰ,1,2,ｼﾞｮｾﾌ･ｼﾞｪｲﾑｽﾞ･ﾌｧﾗｳﾄ,S,タワースコラ,S201,S201,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31H,前期,水,1,English Communication Ⅰ,1,2,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,S,タワースコラ,S405,S405,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U31I,前期,水,1,English Communication Ⅰ,1,2,PRICE　Gregory　Davis,S,タワースコラ,S402,S402,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A31P,前期,水,1,コンクリート構造設計 {1},2,3,関・山田,S,駿河台校舎,131,131,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A31Q,前期,水,1,材料力学 {2},2,3,小林･小田,S,駿河台校舎,141,141,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31A,前期,水,1,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大久保・中原　他,F,船橋校舎,105 113 134 143 144,105,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31A,前期,水,1,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大久保・中原　他,F,船橋校舎,105 113 134 143 144,113,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31A,前期,水,1,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大久保・中原　他,F,船橋校舎,105 113 134 143 144,134,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31A,前期,水,1,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大久保・中原　他,F,船橋校舎,105 113 134 143 144,143,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31A,前期,水,1,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大久保・中原　他,F,船橋校舎,105 113 134 143 144,144,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31B,前期,水,1,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大宅・伊藤　他,F,船橋校舎,819 826 829 341 342,819,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31B,前期,水,1,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大宅・伊藤　他,F,船橋校舎,819 826 829 341 342,826,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31B,前期,水,1,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大宅・伊藤　他,F,船橋校舎,819 826 829 341 342,829,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31B,前期,水,1,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大宅・伊藤　他,F,船橋校舎,819 826 829 341 342,341,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P31B,前期,水,1,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,大宅・伊藤　他,F,船橋校舎,819 826 829 341 342,342,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A32M,前期,水,2,応用力学Ⅰ {1},2,2,長谷部　寛,S,駿河台校舎,144,144,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A32N,前期,水,2,地球環境学 {2},2,2,齋藤・小沼・藤井,S,駿河台校舎,151,151,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,U32A,前期,水,2,歴史学 {I群},2,2,青木　学,S,タワースコラ,S203,S203,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
